institute_id,name,email,phone,qualification,city,state,created_at
54,dheraj,test@gmail.com,8287758251,b.tecg,spj1,bihar3,2024-03-30 11:53
54,dheeraj,test@gmail.com,8287758251,b.tecg,spj1,delhi,2024-04-01 11:05
54,bikii,test@gmail.com,7373737373,btecj,spj1,delhi two,2024-04-01 11:05
54,dheeraj22,test@gmail.com,8287758251,b.tecg,spj1,delhi33,2024-04-01 11:07
54,bikii2,,7373737373,btecj,spj1,delhi two,2024-04-01 11:07
54,dheeraj,test@gmail.com,8287758251,b.tecg,spj1,delhi,2024-04-02 10:48
54,dheeraj,test@gmail.com,8287758251,b.tecg,spj1,delhi,2024-04-02 10:51
54,dheeraj,test@gmail.com,8287758251,b.tecg,spj1,delhi,2024-04-02 10:51
54,dheeraj,test@gmail.com,8287758251,b.tecg,spj1,delhi,2024-04-02 10:52
54,dheeraj,test@gmail.com,8287758251,b.tecg,spj1,delhi,2024-04-02 10:54
54,dheeraj,test@gmail.com,8287758251,b.tecg,spj1,delhi,2024-04-02 10:54
54,dheeraj,test@gmail.com,8287758251,b.tecg,spj1,delhi,2024-04-02 10:55
54,dheeraj,test@gmail.com,8287758251,b.tecg,spj1,delhi,2024-04-02 10:56
54,dheeraj,test@gmail.com,8287758251,b.tecg,spj1,delhi,2024-04-02 10:56
54,dheeraj,test@gmail.com,8287758251,b.tecg,spj1,delhi,2024-04-02 10:58
